;Book;Sentence;Entities;CharacterEntities
10127;The Sword of Destiny;"""Good argument, witcher,"" interrupted Yennefer, who had joined them on her big black horse.";['Yennefer'];['Yennefer']
10130;The Sword of Destiny;Yennefer slipped between the two.;['Yennefer', 'two'];['Yennefer']
10132;The Sword of Destiny;"""Consider suppressing them, Dorregaray,"" she replied.";['Dorregaray'];['Dorregaray']
10133;The Sword of Destiny;"""At least in front of Niedamir and the Reavers, who suspect you of wanting to sabotage the hunt.";['Niedamir', 'Reavers'];['Niedamir']
10137;The Sword of Destiny;"""Besides,"" continued Yennefer, ""by uttering such views, you undermine the foundations of our profession and our duty.""";['Yennefer'];['Yennefer']
10139;The Sword of Destiny;"""You can apply your theories to grand creation and vermin, Dorregaray, but not to dragons.";['Dorregaray'];['Dorregaray']
10143;The Sword of Destiny;"""Dragons are not the enemies of man,"" interrupted Geralt.";['Geralt'];['Geralt']
10150;The Sword of Destiny;"""Yennefer,"" said Dorregaray.";['Yennefer', 'Dorregaray'];['Yennefer', 'Dorregaray']
10160;The Sword of Destiny;Fertility, Dorregaray, is what's needed for development, survival and domination.;['Dorregaray'];['Dorregaray']
10166;The Sword of Destiny;"""You know, Yennefer, I'd prefer not be alive when the time comes that your idea of man's domination will come true and the time when the same will take up their rightful place in nature.";['Yennefer'];['Yennefer']
10169;The Sword of Destiny;Yes, Yennefer, of course: breeding, breeding and more breeding.;['Yennefer'];['Yennefer']
10173;The Sword of Destiny;Seeing Yennefer's pale and tense face, Geralt instantly felt sorry for the magician.;['Yennefer', 'Geralt'];['Yennefer', 'Geralt']
10174;The Sword of Destiny;He grasped situation perfectly: Yennefer was sterile, as were most sorceresses, but unlike the others, she suffered as a result and became wild with rage when reminded of it.;['Yennefer'];['Yennefer']
10176;The Sword of Destiny;He was, however, unaware that Yennefer had a cold-blooded thirst for vengeance.;['Yennefer'];['Yennefer']
10179;The Sword of Destiny;Watch out, Geralt.;['Geralt'];['Geralt']
10185;The Sword of Destiny;Yennefer's face turned even paler.;['Yennefer'];['Yennefer']
10214;The Sword of Destiny;"""Hey!"" cried Yarpen Zigrin from the driver's seat, pointing at Yennefer.";['Yarpen Zigrin', 'Yennefer'];['Yarpen', 'Yennefer']
10221;The Sword of Destiny;"""33The beards of Yarpen's boys shook with a chorus of laughter.";['33\r\nThe', 'Yarpen'];['Yarpen']
10222;The Sword of Destiny;Yennefer pretended not to hear them.;['Yennefer'];['Yennefer']
10223;The Sword of Destiny;Geralt stopped his horse to let Niedamir's archers through.;['Geralt', 'Niedamir'];['Geralt', 'Niedamir']
10225;The Sword of Destiny;Geralt waited for them.;['Geralt'];['Geralt']
10255;The Sword of Destiny;"""It's not a question of luck, Geralt.";['Geralt'];['Geralt']
10259;The Sword of Destiny;"""Nobody stops talking about their ambitions today,"" murmured Geralt.";['Geralt'];['Geralt']
10260;The Sword of Destiny;"""The ambition of Niedamir consists of conquering Malleore.";['Niedamir', 'Malleore'];['Niedamir']
10261;The Sword of Destiny;That of Eyck of Denesle to protect the humans from dragons.;['Eyck of Denesle'];['Eyck']
10263;The Sword of Destiny;Yennefer cannot fulfil her ambition owing to the changes to which her body has been subjected, and it upsets her.;['Yennefer'];['Yennefer']
10276;The Sword of Destiny;Geralt stood up in his stirrups.;['Geralt'];['Geralt']
10285;The Sword of Destiny;"""Why?"" repeated Geralt.";['Geralt'];['Geralt']
10291;The Sword of Destiny;"""Hey, Ripper!"" shouted Boholt, approaching the wagon.";['Ripper', 'Boholt'];['Boholt']
10302;The Sword of Destiny;"""This way is shorter, noble lord,"" he replied not to the chancellor but directly to Niedamir, whose face still expressed deathly boredom.";['Niedamir'];['Niedamir']
10303;The Sword of Destiny;"""How's that?"" demanded Gyllenstiern, his face contorted.";['Gyllenstiern'];['Gyllenstiern']
10304;The Sword of Destiny;35Niedamir did not deign to look at the shoemaker.;['35\r\n', 'Niedamir'];['Niedamir']
10313;The Sword of Destiny;Boholt asked.;['Boholt'];['Boholt']
10317;The Sword of Destiny;Boholt got up from his seat and looked down at the foaming river.;['Boholt'];['Boholt']
10334;The Sword of Destiny;"""Well, let's go, Kozojed!"" decided Boholt.";['Kozojed', 'Boholt'];['Boholt']
10343;The Sword of Destiny;Geralt stopped his horse, his way barred by the archers of Niedamir, their crimson and yellow jerkins huddled together on a stone gable.;['Geralt', 'Niedamir'];['Geralt', 'Niedamir']
10347;The Sword of Destiny;"36""Look out!"" shouted Boholt, who had already crossed to the other side of the bridge.";['Boholt'];['Boholt']
10355;The Sword of Destiny;Niedamir, his head leaning on the mane of his mount, rushed onto the bridge followed by Gyllenstiern and some of the archers.;['Niedamir', 'Gyllenstiern'];['Niedamir', 'Gyllenstiern']
10359;The Sword of Destiny;shouted Yarpen Zigrin in the back as he whipped the hindquarters of his horses.;['Yarpen Zigrin'];['Yarpen']
10360;The Sword of Destiny;The dwarves' wagon crashed into some of the archers as it overtook Niedamir's second wagon.;['Niedamir', 'second'];['Niedamir']
10364;The Sword of Destiny;Eyck of Denesle, sitting stiff and straight, overtook the dwarves' wagon at a gallop.;['Eyck of Denesle'];['Eyck']
10368;The Sword of Destiny;Geralt tugged on the reins, his horse rearing.;['Geralt'];['Geralt']
10373;The Sword of Destiny;Geralt tried to jump from his mount, but his boot remained stuck in the stirrup.;['Geralt'];['Geralt']
10379;The Sword of Destiny;"""Jump, witcher!"" shouted Dorregaray, jostling around in the saddle and struggling to control his now wild horse.";['Jump', 'Dorregaray'];['Dorregaray']
10381;The Sword of Destiny;A cloud of dust went up, created by the landslide and the crashing of Niedamir's wagons as they broke to pieces.;['Niedamir'];['Niedamir']
10384;The Sword of Destiny;Yennefer fell with her horse, then rolled aside.;['Yennefer'];['Yennefer']
10387;The Sword of Destiny;Clutching an injured shoulder, Yennefer rose to her knees.;['Yennefer'];['Yennefer']
10391;The Sword of Destiny;"""Geralt, look out!""";['Geralt'];['Geralt']
10393;The Sword of Destiny;Geralt dropped to shield the sorceress with his body.;['Geralt'];['Geralt']
10395;The Sword of Destiny;"""Hurry!"" cried Dorregaray.";['Hurry', 'Dorregaray'];['Dorregaray']
10398;The Sword of Destiny;Yennefer made a sign with her hand, stretching out her fingers.;['Yennefer'];['Yennefer']
10401;The Sword of Destiny;"""To the bridge, Geralt!"" cried the sorceress.";['Geralt'];['Geralt']
10403;The Sword of Destiny;They ran behind Dorregaray and some unhorsed archers.;['Dorregaray'];['Dorregaray']
10409;The Sword of Destiny;The party that remained on the bridge continued holding on, but Geralt realized that they ran on an increasingly steep slope.;['Geralt'];['Geralt']
10410;The Sword of Destiny;Yennefer, breathing heavily, cursed.;['Yennefer'];['Yennefer']
10414;The Sword of Destiny;Yennefer and Geralt slid, their fingers clutching at the cracks between the log.;['Yennefer', 'Geralt'];['Yennefer', 'Geralt']
10416;The Sword of Destiny;Holding on with one hand, Geralt drew his dagger with the other and drove it into a crack before hanging on to it with both hands.;['Geralt'];['Geralt']
10417;The Sword of Destiny;The joints of his elbows started to strain as Yennefer held on tightly to his sword belt and scabbard that he wore across his back.;['Yennefer'];['Yennefer']
10429;The Sword of Destiny;Geralt didn't consider it helpful to reply.;['Geralt'];['Geralt']
10431;The Sword of Destiny;"""Quickly, god damn it!""38The Reavers, the dwarves and Gyllenstiern appeared beside Jaskier.";['38', 'Reavers', 'Gyllenstiern', 'Jaskier'];['Gyllenstiern']
10432;The Sword of Destiny;"Geralt heard the muffled voice of Boholt: ""Wait a minute.";['Geralt', 'a minute'];['Geralt']
10435;The Sword of Destiny;Yennefer hissed like a snake as she clung to Geralt's back.;['Yennefer', 'Geralt'];['Yennefer', 'Geralt']
10442;The Sword of Destiny;Geralt looked down at the river boiling between the sharp stones against which rolled a few logs from the bridge, the body of a horse and a corpse dressed in the vivid colours of Caingorn.;['Geralt', 'Caingorn'];['Geralt']
10453;The Sword of Destiny;Geralt began to lose all feeling in his fingers as he gripped the handle of his dagger.;['Geralt'];['Geralt']
10461;The Sword of Destiny;39Radiating a cold and pale light, wriggling and writhing as though it were alive, gracefully groping about with its mobile end, the rope found Geralt's neck, wormed its way under his armpits then formed a loose knot.;['39\r\nRadiating', 'Geralt'];['Geralt']
10469;The Sword of Destiny;Kennet!;['Kennet'];['Kennet']
10473;The Sword of Destiny;Yennefer signed heavily.;['Yennefer'];['Yennefer']
10475;The Sword of Destiny;Above, Yennefer got to her feet first.;['Yennefer', 'first'];['Yennefer']
10476;The Sword of Destiny;"VII ""Out of the whole fleet,"" announced Gyllenstiern, ""we saved only a baggage wagon, Majesty, not including that of the Reavers.";['Gyllenstiern', 'Majesty', 'Reavers'];['Gyllenstiern']
10481;The Sword of Destiny;Niedamir did not answer.;['Niedamir'];['Niedamir']
10482;The Sword of Destiny;Standing to attention in front of him, Eyck of Denesle fixed him with a fevered gaze.;['Eyck of Denesle'];['Eyck']
10489;The Sword of Destiny;"""Is he delirious?"" said Boholt, becoming sullen.";['Boholt'];['Boholt']
10490;The Sword of Destiny;"""I don't know,"" replied Geralt, readjusting his mare's harness.";['Geralt'];['Geralt']
10494;The Sword of Destiny;"""The Holy Book says,"" Eyck continued, all in a rage, ""that a serpent shall appear from the chasm, a dreadful dragon with seven heads and ten horns.";['The Holy Book', 'Eyck', 'seven', 'ten'];['Eyck']
10501;The Sword of Destiny;"""In order to fight evil,"" continued Eyck with grandiloquence, ""it is necessary for oneself to have a pure heart and conscience with head held high!";['Eyck'];['Eyck']
10512;The Sword of Destiny;Geralt smiled at Yarpen Zigrin who stroked the sharp edge of the axe that hung on his belt with a slow and steady movement.;['Geralt', 'Yarpen Zigrin'];['Geralt', 'Yarpen']
10514;The Sword of Destiny;Yennefer turned her back on the scene ostentatiously, showing greater concern for her dress which had torn up to the hip than for the words of Eyck.;['Yennefer', 'Eyck'];['Yennefer', 'Eyck']
10515;The Sword of Destiny;"""We perhaps went a little too far,"" Dorregaray granted, ""but for noble reasons, Lord Eyck, without a doubt.";['Dorregaray', 'Eyck'];['Dorregaray', 'Eyck']
10516;The Sword of Destiny;I consider, however, your comments regarding magicians, dwarves and witchers unseemly, even if we're used to these types of opinions they are neither polite nor worthy of a knight, Lord Eyck.;['Eyck'];['Eyck']
10519;The Sword of Destiny;"""Bloody hell,"" murmured Geralt to Jaskier.";['Geralt'];['Geralt']
10521;The Sword of Destiny;Eyck?;['Eyck'];['Eyck']
10524;The Sword of Destiny;"""It was definitely Eyck.""";['Eyck'];['Eyck']
10526;The Sword of Destiny;Yennefer cursed under her breath and straightened up.;['Yennefer'];['Yennefer']
10527;The Sword of Destiny;"""Knight Eyck,"" she said to him with a smile that all, except Geralt, believed kind and benevolent.";['Knight Eyck', 'Geralt'];['Geralt']
10530;The Sword of Destiny;"""You are a lady, dear Yennefer.""";['Yennefer'];['Yennefer']
10533;The Sword of Destiny;Boholt snorted.;['Boholt'];['Boholt']
10534;The Sword of Destiny;"""I thank you, sir knight,"" Yennefer replied coldly.";['knight', 'Yennefer'];['Yennefer']
10535;The Sword of Destiny;"""The witcher Geralt also thanks you.";['Geralt'];['Geralt']
10536;The Sword of Destiny;"Thank him Geralt.""";['Geralt'];['Geralt']
10541;The Sword of Destiny;If I'd been alone, Eyck wouldn't even have lifted his little finger.;['Eyck'];['Eyck']
10543;The Sword of Destiny;"""You are mistaken, Lord Geralt,"" replied the knight errant serenely.";['Geralt'];['Geralt']
10546;The Sword of Destiny;"""Thank him, Geralt.";['Geralt'];['Geralt']
10548;The Sword of Destiny;"""Otherwise, you confirm all that Eyck says about you.";['Eyck'];['Eyck']
10557;The Sword of Destiny;Jaskier and Yarpen Zigrin smiled at each other significantly, but so as not to be seen be the sorceress.;['Jaskier', 'Yarpen Zigrin'];['Yarpen']
10558;The Sword of Destiny;The witcher fixed his gaze on Yennefer's eyes.;['Yennefer'];['Yennefer']
10564;The Sword of Destiny;Except for the noble Yennefer, whom I thank without asking anything in return.;['Yennefer'];['Yennefer']
10568;The Sword of Destiny;"""Hey, Geralt,"" said Boholt.";['Hey, Geralt', 'Boholt'];['Boholt']
10578;The Sword of Destiny;"""Stop wheezing, friend,"" said Gyllenstiern, jamming his thumbs into his gold belt.";['Gyllenstiern'];['Gyllenstiern']
10583;The Sword of Destiny;"""Nischuka!"" shouted Boholt, ""To the wagon!";['Nischuka', 'Boholt'];['Boholt']
10586;The Sword of Destiny;yelled Yarpen Zigrin.;['Yarpen Zigrin'];['Yarpen']
10590;The Sword of Destiny;"""Geralt, take me on your horse!""";['Geralt'];['Geralt']
10595;The Sword of Destiny;Boholt arrived first and, galloping up to the rocky barrier, stopped his horse suddenly and stood up in his stirrups.;['Boholt', 'first'];['Boholt']
10600;The Sword of Destiny;"""What?"" asked Dorregaray, going up to him.";['Dorregaray'];['Dorregaray']
10601;The Sword of Destiny;42Next to him, Yennefer jumped off the Reavers' wagon, pressed her chest up against a large boulder and looked in turn.;['Yennefer', 'Reavers'];['Yennefer']
10604;The Sword of Destiny;"What is it?"" shouted Jaskier, trying to see over Geralt's shoulder.";['Jaskier', 'Geralt'];['Geralt']
10615;The Sword of Destiny;"""A golden dragon,"" murmured Dorregaray.";['Dorregaray'];['Dorregaray']
10622;The Sword of Destiny;"""It is not an illusion,"" said Yennefer.";['Yennefer'];['Yennefer']
10623;The Sword of Destiny;"""It is a golden dragon,"" added Gyllenstiern.";['Gyllenstiern'];['Gyllenstiern']
10635;The Sword of Destiny;"""There is a difference, Boholt,"" said Ripper.";['Boholt', 'Ripper'];['Boholt']
10641;The Sword of Destiny;"""This dragon is gold, Kennet,"" shouted Yarpen Zigrin.";['Kennet', 'Yarpen Zigrin'];['Kennet', 'Yarpen']
10645;The Sword of Destiny;"""43""And without damaging the market for precious stones,"" added Yennefer with an ugly smile.";['43', 'Yennefer'];['Yennefer']
10646;The Sword of Destiny;"""Yarpen is right.";['Yarpen'];['Yarpen']
10652;The Sword of Destiny;"""The devil only knows, my dear lords,"" replied Boholt, concerned.";['Boholt'];['Boholt']
10663;The Sword of Destiny;Yarpen Zigrin smiled unpleasantly, hands on hips.;['Yarpen Zigrin'];['Yarpen']
10673;The Sword of Destiny;"""Lord Dorregaray,"" said Boholt, going up to the magician, ""Make yourself useful.";['Boholt'];['Boholt']
10686;The Sword of Destiny;Geralt was sure that a fight was going to erupt.;['Geralt'];['Geralt']
10689;The Sword of Destiny;"King Niedamir can order you, Dorregaray, to pack up your saddlebags and go to hell; note that to suggest the same of him is improper.";['Niedamir', 'Dorregaray'];['Niedamir', 'Dorregaray']
10692;The Sword of Destiny;"""It isn't, because I am and remain Master Dorregaray.";['Dorregaray'];['Dorregaray']
10697;The Sword of Destiny;Boholt approached Dorregaray: he grabbed him by the arm and turned him around.;['Boholt', 'Dorregaray'];['Boholt', 'Dorregaray']
10698;The Sword of Destiny;Nischuka and Ripper, silent and grim-faced, stood right behind Boholt.;['Nischuka', 'Ripper', 'Boholt'];['Boholt']
10703;The Sword of Destiny;Dorregaray turned pale, but did not move.;['Dorregaray'];['Dorregaray']
10706;The Sword of Destiny;"""Okay,"" said Boholt.";['Boholt'];['Boholt']
10715;The Sword of Destiny;"""King Niedamir and ye knights!""";['Niedamir'];['Niedamir']
10717;The Sword of Destiny;"""I am the dragon Villentretenmerth!";['Villentretenmerth'];['Villentretenmerth']
10722;The Sword of Destiny;You can leave by these two roads, but you will not pass by the ravine located to the north, because I, Villentretenmerth, forbid it.;['two', 'Villentretenmerth'];['Villentretenmerth']
10730;The Sword of Destiny;"""And very intelligently, at that,"" added Yarpen Zigrin.";['Yarpen Zigrin'];['Yarpen']
10732;The Sword of Destiny;"""Common place, without magic,"" answered Yennefer, frowning.";['Yennefer'];['Yennefer']
10738;The Sword of Destiny;"""45""Is it completely mad or what?"" declared Kennet alias Ripper, annoyed.";['45', 'Kennet', 'alias Ripper'];['Kennet']
10752;The Sword of Destiny;"Eyck spoke more and more intensely; his impassioned voice broke and trembled with excitement.";['Eyck'];['Eyck']
10759;The Sword of Destiny;"The might of fangs and claws for the dragon, his infernal fury, and for me..."" ""What a moron,"" murmured Yarpen Zigrin.";['Yarpen Zigrin'];['Yarpen']
10760;The Sword of Destiny;"""For me, law, faith and the tears of the virgins that this lizard..."" ""Shut up, Eyck, you're giving us the urge to vomit!""";['Eyck'];['Eyck']
10767;The Sword of Destiny;"If Eyck strikes down the lizard, he will acquire half..."" ""Eyck will acquire nothing at all,"" replied Boholt, grinning.";['Eyck', 'half', 'Eyck', 'Boholt'];['Eyck', 'Eyck', 'Boholt']
10773;The Sword of Destiny;Faith and honour will rally against the dragon in the form of the knight errant, Eyck of Denesle, fighting in the colours of Caingorn as lance and sword of the King Niedamir.;['Eyck of Denesle', 'Caingorn', 'the King Niedamir'];['Eyck']
10775;The Sword of Destiny;"""You see?"" ground out Yarpen Zigrin under his breath.";['Yarpen Zigrin'];['Yarpen']
10776;The Sword of Destiny;"""The lance and the sword of Niedamir.";['Niedamir'];['Niedamir']
10781;The Sword of Destiny;"""You are not going to pick a fight with Eyck, alright?";['Eyck'];['Eyck']
10790;The Sword of Destiny;"It's not a question of singing some ditty, Jaskier,"" replied Boholt, frowning.";['Jaskier', 'Boholt'];['Boholt']
10792;The Sword of Destiny;"""Agreed, what does it matter?"" replied Yarpen.";['Yarpen'];['Yarpen']
10795;The Sword of Destiny;scolded Gyllenstiern.;['Gyllenstiern'];['Gyllenstiern']
10806;The Sword of Destiny;The knight errant Eyck of Denesle will be the first to take you on, all above board!;['Eyck of Denesle', 'first'];['Eyck']
10815;The Sword of Destiny;"""The valorous Eyck of Denesle deigns to come to me on meadow.";['Eyck of Denesle'];['Eyck']
10818;The Sword of Destiny;Boholt spat, casting a gloomy look towards the knight Eyck as he trotted out to the barrier of rocks.;['Eyck'];['Eyck']
10819;The Sword of Destiny;"""It's a bloody farce..."" ""Shut it, Boholt,"" shouted Jaskier, rubbing his hands.";['Boholt', 'Jaskier'];['Boholt']
10823;The Sword of Destiny;"Three cheers for Eyck!""";['Three', 'Eyck'];['Eyck']
10824;The Sword of Destiny;one of the archers of Niedamir exclaimed.;['one', 'Niedamir'];['Niedamir']
10826;The Sword of Destiny;On the battleground, Eyck returned salute to the dragon by raising his lance.;['Eyck'];['Eyck']
10831;The Sword of Destiny;Leaning forward, straining in the saddle, Eyck lowered his lance when he was at a gallop.;['Eyck'];['Eyck']
10832;The Sword of Destiny;In spite of Geralt's assumption, the dragon did not leap back.;['Geralt'];['Geralt']
10835;The Sword of Destiny;"Kill it, Eyck!""";['Eyck'];['Eyck']
10836;The Sword of Destiny;shouted Yarpen.;['Yarpen'];['Yarpen']
10837;The Sword of Destiny;Eyck did not throw himself blindly into a frontal attack.;['Eyck'];['Eyck']
10840;The Sword of Destiny;Everybody started to shout in unison, except Geralt who refused to participate in the chorus.;['Geralt'];['Geralt']
10845;The Sword of Destiny;As the horse collapsed to the ground, the dragon swept Eyck from his saddle with one strike of its mighty paw.;['Eyck'];['Eyck']
10850;The Sword of Destiny;All heard the deep voice of the dragon Villentretenmerth in the silence that had fallen.;['Villentretenmerth'];['Villentretenmerth']
10851;The Sword of Destiny;"""The valorous Eyck of Denesle may be withdrawn from the ground.";['Eyck of Denesle'];['Eyck']
10854;The Sword of Destiny;"""Oh Shit!"" said Yarpen Zigrin in the quiet.";['Yarpen Zigrin'];['Yarpen']
10855;The Sword of Destiny;"VIII ""Both legs,"" said Yennefer, drying her hands on a linen cloth.";['Yennefer'];['Yennefer']
10860;The Sword of Destiny;"""Occupational hazard,"" murmured Geralt.";['Geralt'];['Geralt']
10863;The Sword of Destiny;"""What else do you want to hear, Yennefer?""";['Yennefer'];['Yennefer']
10875;The Sword of Destiny;Yennefer approached him.;['Yennefer'];['Yennefer']
10878;The Sword of Destiny;Kill this dragon, Geralt.;['Geralt'];['Geralt']
10888;The Sword of Destiny;"""48""There will be deaths, Yennefer.""";['48', 'Yennefer'];['Yennefer']
10892;The Sword of Destiny;"""Yennefer,"" the witcher replied coldly.";['Yennefer'];['Yennefer']
10899;The Sword of Destiny;Yennefer remained silent.;['Yennefer'];['Yennefer']
10911;The Sword of Destiny;"Geralt?""";['Geralt'];['Geralt']
10916;The Sword of Destiny;He touched the star of obsidian which hung on Yennefer's neck with his index finger.;['obsidian', 'Yennefer'];['Yennefer']
10924;The Sword of Destiny;Yennefer turned around slowly.;['Yennefer'];['Yennefer']
10925;The Sword of Destiny;Geralt regretted his words.;['Geralt'];['Geralt']
10929;The Sword of Destiny;"""Questions of honour and chivalry don't seem to apply any more, my dear Lord,"" announced Boholt, already equipped with the armour of Niedamir, as he sat motionless on a stone with an expression of worry on his face.";['Boholt', 'Niedamir'];['Boholt', 'Niedamir']
10931;The Sword of Destiny;It was a very bad idea, Sire Gyllenstiern, to send Eyck into battle as the knight and vassal of your king.;['Sire Gyllenstiern', 'Eyck'];['Eyck']
10932;The Sword of Destiny;I wouldn't dare to point a finger at the culprit, but I definitely know to whom Eyck owes a pair of broken pins.;['Eyck'];['Eyck']
10934;The Sword of Destiny;Do you know who I'm talking about, Gyllenstiern?;['Gyllenstiern'];['Gyllenstiern']
10941;The Sword of Destiny;"""And our contract, Boholt?"" the chancellor shot back.";['Boholt'];['Boholt']
10947;The Sword of Destiny;"""King Niedamir..."" ""What about the king?"" replied an irate Boholt, leaning on a colossal longsword.";['Niedamir', 'Boholt'];['Niedamir', 'Boholt']
10954;The Sword of Destiny;You had your chance, Gyllenstiern, when Eyck tried to run the dragon through with his lance.;['Gyllenstiern', 'Eyck'];['Gyllenstiern', 'Eyck']
10959;The Sword of Destiny;"You won't find another fool such as Eyck.""";['Eyck'];['Eyck']
10970;The Sword of Destiny;Kozojed, seeing the approaching Kennet and Nischuka, retreated quickly and blended in with the group of the scouts from Holopole.;['Kozojed', 'Kennet', 'Nischuka', 'Holopole'];['Kennet']
10971;The Sword of Destiny;"""Sire,"" asked Gyllenstiern.";['Gyllenstiern'];['Gyllenstiern']
10973;The Sword of Destiny;The bored expression immediately disappeared from Niedamir's face.;['Niedamir'];['Niedamir']
10977;The Sword of Destiny;"""Finally you ask me, Gyllenstiern, instead of deciding for me and in my own name.";['Gyllenstiern'];['Gyllenstiern']
10979;The Sword of Destiny;Let's keep it like that, Gyllenstiern.;['Gyllenstiern'];['Gyllenstiern']
10983;The Sword of Destiny;Order them to place Eyck of Denesle on a wagon.;['Eyck of Denesle'];['Eyck']
10985;The Sword of Destiny;"""Lord..."" ""Not a word, Gyllenstiern.";['Gyllenstiern'];['Gyllenstiern']
10990;The Sword of Destiny;"And thanks to your silence, Lord Geralt.""";['Geralt'];['Geralt']
10991;The Sword of Destiny;"""Sire,"" said Gyllenstiern, ""why?";['Gyllenstiern'];['Gyllenstiern']
10994;The Sword of Destiny;"""My ambition,"" repeated Niedamir, lost in his thoughts.";['Niedamir'];['Niedamir']
11002;The Sword of Destiny;"""Screw the people of Malleore, to use the expression of Mr Boholt,"" replied Niedamir.";['Screw the people of Malleore', 'Mr Boholt', 'Niedamir'];['Niedamir']
11010;The Sword of Destiny;We've spoken enough, Gyllenstiern.;['Gyllenstiern'];['Gyllenstiern']
11020;The Sword of Destiny;I'm a poet, Geralt.;['Geralt'];['Geralt']
11023;The Sword of Destiny;"""In that case, I'll tell you, Geralt.";['Geralt'];['Geralt']
11026;The Sword of Destiny;"it's beautiful, Geralt.""";['Geralt'];['Geralt']
11029;The Sword of Destiny;Geralt turned around and, with a slow movement, tightened the buckle on the bandolier across his chest by two holes.;['Geralt', 'two'];['Geralt']
11032;The Sword of Destiny;"""Geralt, you're going to...""";['Geralt'];['Geralt']
11037;The Sword of Destiny;"Will you stay or will you follow Niedamir's troops?""";['Niedamir'];['Niedamir']
11044;The Sword of Destiny;"""Geralt.""51""Yes?"" ""Don't kill it... if you can.""";['Geralt', '51'];['Geralt']
11048;The Sword of Destiny;Dorregaray sneered, turning towards Yennefer and the Reavers he pointed to the royal standard as it moved away.;['Yennefer', 'Reavers'];['Yennefer']
11050;The Sword of Destiny;He no longer gives orders by the mouth of Gyllenstiern as he has finally gained some common sense.;['Gyllenstiern'];['Gyllenstiern']
11056;The Sword of Destiny;Don't move Boholt!;['Boholt'];['Boholt']
11057;The Sword of Destiny;Yarpen, take your hand away from your axe!;['Yarpen'];['Yarpen']
11058;The Sword of Destiny;Yennefer, don't even think about moving a finger!;['Yennefer'];['Yennefer']
11063;The Sword of Destiny;"""Dorregaray,"" Yennefer hissed.";['Yennefer'];['Yennefer']
11064;The Sword of Destiny;"""Dear magician,"" said Boholt in a reasonable voice.";['Boholt'];['Boholt']
11065;The Sword of Destiny;"""Either we come to an agreement..."" ""Be silent, Boholt.";['Boholt'];['Boholt']
11068;The Sword of Destiny;Yennefer's hand suddenly shot forward and the ground around Dorregaray exploded in a flash of azure fire, whirling about in cloud of gravel and ripped up clods.;['Yennefer', 'Dorregaray'];['Yennefer', 'Dorregaray']
11077;The Sword of Destiny;Yarpen Zigrin, springing up behind Jaskier, buckled his legs by hitting him in the back of his knees with the handle of his axe.;['Yarpen Zigrin', 'Jaskier'];['Yarpen']
11078;The Sword of Destiny;Geralt dodged Boholt's sword with a pirouette and struck Ripper at close quarters as he tried to evade him, tearing his iron armband from his arm.;['Boholt', 'Ripper', 'close quarters'];['Boholt']
11081;The Sword of Destiny;Geralt jumped over the hissing blade and rammed Boholt's cuirass with the hilt of his sword,52pulled back then aimed for Boholt's cheek.;['Geralt', 'Boholt', '52', 'Boholt'];['Geralt', 'Boholt', 'Boholt']
11084;The Sword of Destiny;At this instant, Geralt felt the earth give way and his feet falter.;['Geralt'];['Geralt']
11088;The Sword of Destiny;"""Bind them while the spell still lasts,"" shouted Yennefer, from further away upon the height.";['Yennefer'];['Yennefer']
11106;The Sword of Destiny;roared Yarpen Zigrin.;['Yarpen Zigrin'];['Yarpen']
11113;The Sword of Destiny;"""Already the air's got a lot fresher,"" laughed Yarpen.";['Yarpen'];['Yarpen']
11116;The Sword of Destiny;Yennefer raised her arm.;['Yennefer'];['Yennefer']
11123;The Sword of Destiny;"Go and find the shoemaker,"" repeated Yennefer.";['Yennefer'];['Yennefer']
11129;The Sword of Destiny;Go quickly, Boholt, before I get annoyed.;['Boholt'];['Boholt']
11132;The Sword of Destiny;"""Good grief,"" exclaimed Boholt.";['Boholt'];['Boholt']
11140;The Sword of Destiny;"""Try it, Boholt.";['Boholt'];['Boholt']
11142;The Sword of Destiny;"""Yennefer,"" asked the dwarf, reproachfully, ""Why?""";['Yennefer'];['Yennefer']
11143;The Sword of Destiny;"""Perhaps it's because I don't like to share, Yarpen.""";['Yarpen'];['Yarpen']
11147;The Sword of Destiny;"I don't like to share either, Yennefer.""";['Yennefer'];['Yennefer']
11149;The Sword of Destiny;A metal ball, produced from who knows where, flew through the air and struck Yennefer's forehead violently.;['Yennefer'];['Yennefer']
11150;The Sword of Destiny;Before the sorceress came to, Ripper and Nischuka immobilized her arms and Yarpen has bound her ankles with a rope.;['Ripper', 'Nischuka', 'Yarpen'];['Yarpen']
11152;The Sword of Destiny;One of Yarpen's boys, holding her from behind, threw a bridle over her head and pulled it tight, stifling her shouts by shoving the straps into her open mouth.;['One', 'Yarpen'];['Yarpen']
11153;The Sword of Destiny;"""What now, Yennefer?"" shot Boholt, walking towards her.";['Yennefer', 'Boholt'];['Yennefer', 'Boholt']
11156;The Sword of Destiny;Trapped in the bridles, Yennefer hurled abuse at him in the form of stifled shouting.;['Yennefer'];['Yennefer']
11157;The Sword of Destiny;"""We have no time at present,"" said Boholt, groping her while ignoring the sniggering of the dwarves, ""but wait just a little while, sorceress.";['Boholt'];['Boholt']
11163;The Sword of Destiny;"""Boholt,"" said Geralt quietly and ominously.";['Boholt', 'Geralt'];['Boholt', 'Geralt']
11176;The Sword of Destiny;the sorceress shouted at Geralt.;['Geralt'];['Geralt']
